10TACLE Studios
Quintet
RED Entertainment
RTL
Rage Software
Rain Games
Rebellion
Rebellion Developments
Red Orb
Red Storm Entertainment
RedOctane
Reef Entertainment
Revolution (Japan)
Revolution Software
Rising Star Games
Riverhillsoft
Rocket Company
Rondomedia
Russel
SCS Software
SCi
SNK
SNK Playmore
SPS
SSI
Sammy Corporation
Saurus
Scholastic Inc.
Screenlife
Sears
Sega
Seta Corporation
Seventh Chord
Shogakukan
Simon & Schuster Interactive
Slightly Mad Studios
Slitherine Software
Societa
Sold Out
Sonnet
Sony Computer Entertainment
Sony Computer Entertainment America
Sony Computer Entertainment Europe
Sony Music Entertainment
Sony Online Entertainment
SouthPeak Games
Spike
Square
Square EA
Square Enix
SquareSoft
Stainless Games
Starfish
Starpath Corp.
Sting
Storm City Games
Strategy First
Success
Summitsoft
Sunflowers
Sunrise Interactive
Sunsoft
Sweets
Swing! Entertainment
Syscom
System 3
System 3 Arcade Software
System Soft
T&E Soft
TDK Core
TDK Mediactive
TGL
THQ
TOHO
TYO
Taito
Takara
Takara Tomy
Take-Two Interactive
Takuyo
TalonSoft
Team17 Software
TechnoSoft
Technos Japan Corporation
Tecmo Koei
Telegames
Telltale Games
Telstar
Tetris Online
The Adventure Company
The Learning Company
Tigervision
Time Warner Interactive
Titus
Tivola
Tommo
Tomy Corporation
TopWare Interactive
Touchstone
Tradewest
Trion Worlds
Tripwire Interactive
Tru Blu Entertainment
Tryfirst
Type-Moon
U.S. Gold
UEP Systems
UFO Interactive
UIG Entertainment
Ubisoft
Ubisoft Annecy
Ultravision
Universal Gamex
Universal Interactive
Unknown
Valcon Games
ValuSoft
Valve
Valve Software
Vap
Vatical Entertainment
Vic Tokai
Victor Interactive
Video System
Views
Vir2L Studios
Virgin Interactive
Virtual Play Games
Visco
Vivendi Games
Wanadoo
Warashi
Wargaming.net
Warner Bros. Interactive Entertainment
Warp
WayForward Technologies
Westwood Studios
White Park Bay Software
Wizard Video Games
XS Games
Xicat Interactive
Xing Entertainment
Xplosiv
Xseed Games
Yacht Club Games
Yamasa Entertainment
Yeti
Yuke's
Yumedia
Zenrin
Zoo Digital Publishing
Zoo Games
Zushi Games
bitComposer Games
dramatic create
fonfun
iWin
id Software
imageepoch Inc.
inXile Entertainment
"mixi, Inc"
responDESIGN
""
